2025-10-03 19:33:49 | INFO     | src.data.processors.tabular_processor:process_file | Created 10 chunks from 5206022_Taxes.xlsx
2025-10-03 19:33:49 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206023_Social_Assistance_Benefits.xlsx
2025-10-03 19:33:49 | INFO     | src.data.processors.tabular_processor:process_file | Created 4 chunks from 5206023_Social_Assistance_Benefits.xlsx
2025-10-03 19:33:49 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206024_Selected_Analytical_Series.xlsx
2025-10-03 19:33:50 | INFO     | src.data.processors.tabular_processor:process_file | Created 25 chunks from 5206024_Selected_Analytical_Series.xlsx
2025-10-03 19:33:50 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206025_SFD_Summary.xlsx
2025-10-03 19:33:50 | INFO     | src.data.processors.tabular_processor:process_file | Created 23 chunks from 5206025_SFD_Summary.xlsx
2025-10-03 19:33:50 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206026_SFD_NSW.xlsx
2025-10-03 19:33:50 | INFO     | src.data.processors.tabular_processor:process_file | Created 43 chunks from 5206026_SFD_NSW.xlsx
2025-10-03 19:33:50 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206027_SFD_VIC.xlsx
2025-10-03 19:33:50 | INFO     | src.data.processors.tabular_processor:process_file | Created 43 chunks from 5206027_SFD_VIC.xlsx
2025-10-03 19:33:50 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206028_SFD_QLD.xlsx
2025-10-03 19:33:51 | INFO     | src.data.processors.tabular_processor:process_file | Created 43 chunks from 5206028_SFD_QLD.xlsx
2025-10-03 19:33:51 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206029_SFD_SA.xlsx
2025-10-03 19:33:51 | INFO     | src.data.processors.tabular_processor:process_file | Created 43 chunks from 5206029_SFD_SA.xlsx
2025-10-03 19:33:51 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206030_SFD_WA.xlsx
2025-10-03 19:33:51 | INFO     | src.data.processors.tabular_processor:process_file | Created 43 chunks from 5206030_SFD_WA.xlsx
2025-10-03 19:33:51 | INFO     | src.data.processors.tabular_processor:process_file | Processing: 5206031_SFD_TAS.xlsx
2025-10-03 19:33:51 | INFO     | src.data.processors.tabular_processor:process_file | Created 43 chunks from 5206031_SFD_TAS.xlsx
